analysis_period,variant_id,exit_family,stop_buffer_atr,signal_count,closed_trade_count,no_trade_count,mean_net_r_per_signal,median_net_r_per_signal,mean_net_r_per_closed_trade,win_rate_per_signal,profit_factor,max_drawdown_r,symbol_cluster_ci95_lower,symbol_cluster_ci95_upper,positive_year_count,observed_year_count
optimization,range_expansion_lfd_buffer_0p00atr,daily_range_expansion_analogue,0.0,63,63,0,-0.05761076455093228,-0.38074755446181324,-0.05761076455093228,0.47619047619047616,0.8819182458525614,-6.028218288875843,-0.28871332777513997,0.16262692730393966,2,4
optimization,range_expansion_lfd_buffer_0p10atr,daily_range_expansion_analogue,0.1,63,63,0,-0.1113764133827875,-0.47884118525435365,-0.1113764133827875,0.4603174603174603,0.7782073709096508,-8.277459579552522,-0.32234695785579504,0.09381114439828327,1,4
optimization,rectangle_height_lfd_buffer_0p00atr,rectangle_height,0.0,63,61,2,-0.012596590448910287,0.0,-0.013009593414448326,0.49206349206349204,0.9723560046959697,-8.48880816098511,-0.2554918349372941,0.24784796829128591,2,4
optimization,rectangle_height_lfd_buffer_0p10atr,rectangle_height,0.1,63,61,2,-0.014799327299013877,0.08017731014369643,-0.015284551144883191,0.5079365079365079,0.9662486676709834,-7.613904506394183,-0.24701007246935977,0.23114884753201106,2,4
out_of_sample,range_expansion_lfd_buffer_0p00atr,daily_range_expansion_analogue,0.0,33,33,0,-0.2373773988744155,-1.0036724822163976,-0.2373773988744155,0.36363636363636365,0.6316339871297831,-8.90339191977682,-0.6007172944520264,0.13972524712547094,0,2
out_of_sample,range_expansion_lfd_buffer_0p10atr,daily_range_expansion_analogue,0.1,33,33,0,-0.22302307699547969,-1.0036130194592165,-0.22302307699547969,0.36363636363636365,0.6459022735953089,-8.416280904381535,-0.5778523457661088,0.14937738429176364,0,2
out_of_sample,rectangle_height_lfd_buffer_0p00atr,rectangle_height,0.0,33,32,1,-0.20460706774590198,-0.31411896281035245,-0.21100103861296146,0.42424242424242425,0.6471245043807827,-8.37921186681389,-0.5351155680227687,0.13483779410423347,0,2
out_of_sample,rectangle_height_lfd_buffer_0p10atr,rectangle_height,0.1,33,32,1,-0.21296992001814852,-0.3050497728764225,-0.2196252300187157,0.42424242424242425,0.6253150910570429,-8.577201499608607,-0.5235204086580596,0.10898438276409793,0,2
