config_id,symbol,direction,event_timestamp,event_type,policy_id,exit_family
046573c39e,IWM,short,2021-05-13T14:07:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-05-27T14:00:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-06-04T14:00:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-06-18T13:59:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-06-29T13:47:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-07-09T13:48:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-07-13T14:11:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-07-14T13:55:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-08-02T13:51:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-08-12T13:57:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-08-12T13:58:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-08-12T13:59:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-08-24T14:10:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-08-25T14:05:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-08-25T14:06:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-09-01T14:01:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-09-01T14:02:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-09-08T14:12:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-09-13T13:50:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-09-13T14:15:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-09-14T14:06:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-09-14T14:07:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-09-15T13:53:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-09-15T13:54:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-09-22T14:00:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-09-24T13:52:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-09-29T13:58:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-09-30T13:58:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-09-30T13:59:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-10-04T14:01:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-10-19T14:02:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,long,2021-10-19T14:04:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-10-21T14:13:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-10-21T14:14:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-10-29T14:11:00+00:00,entry,046573c39e,market_pulse_flip
046573c39e,IWM,short,2021-11-02T14:13:00+00:00,entry,046573c39e,market_pulse_flip
